"regiao";"ano";"pib_dezenas_bilhoes";"qualidade";"satisfacao";"fidelidade"
"Norte";2006;"12,1371648";"50,232";"47,632000000000005";"26,394"
"Norte";2007;"13,5631872";"60,532000000000004";"59,65";"31,381999999999998"
"Norte";2008;"15,6676704";"47,56";"46,483999999999995";"39,69199999999999"
"Norte";2009;"16,6210208";"54,74333333333333";"55,57";"24,44666666666667"
"Norte";2010;"20,7093648";"53,63833333333333";"52,336666666666666";"33,160000000000004"
"Norte";2012;"25,9100992";"55,955000000000005";"53,025000000000006";"34,083333333333336"
"Norte";2013;"29,2442304";"55,47666666666666";"49,64166666666666";"26,67833333333333"
"Norte";2014;"30,8076992";"56,56166666666667";"55,800000000000004";"26,99833333333333"
"Norte";2015;"32,068832";"46,09833333333333";"45,281666666666666";"25,56"
"Norte";2016;"33,730208";"49,94333333333333";"50,410000000000004";"31,918333333333337"
"Norte";2017;"36,7956416";"51,66142857142858";"46,96857142857142";"24,031428571428574"
"Norte";2018;"38,7535328";"54,33285714285715";"51,51428571428572";"23,509999999999998"
"Norte";2019;"42,0424256";"52,25857142857143";"49,612857142857145";"26,537142857142864"
"Norte";2020;"47,8173056";"61,00857142857143";"48,04857142857143";NULL
"Nordeste";2006;"31,794816";"58,74818181818182";"57,60272727272727";"33,42181818181819"
"Nordeste";2007;"35,4392352";"62,9390909090909";"61,443636363636365";"36,78454545454546"
"Nordeste";2008;"40,6101824";"61,03090909090909";"62,624545454545455";"40,32727272727272"
"Nordeste";2009;"45,1905504";"67,81181818181818";"66,55545454545455";"27,662727272727274"
"Nordeste";2010;"52,2769312";"64,46181818181817";"64,1309090909091";"40,53727272727272"
"Nordeste";2012;"65,3067264";"60,74909090909089";"62,133636363636356";"44,09727272727273"
"Nordeste";2013;"72,4523776";"63,71363636363637";"62,399090909090916";"40,96454545454545"
"Nordeste";2014;"80,5099072";"61,116363636363644";"63,74";"33,845454545454544"
"Nordeste";2015;"84,8579392";"59,61363636363637";"58,19545454545455";"35,14454545454546"
"Nordeste";2016;"89,8361856";"68,38545454545454";"67,49272727272727";"49,58818181818182"
"Nordeste";2017;"95,3428736";"60,21181818181819";"61,8290909090909";"35,56909090909091"
"Nordeste";2018;"100,4827456";"66,22636363636364";"66,85000000000001";"31,121818181818185"
"Nordeste";2019;"104,7766016";"66,09363636363638";"66,04";"37,516363636363636"
"Nordeste";2020;"107,9331072";"73,53454545454545";"63,90181818181818";NULL
"Sudeste";2006;"139,0390912";"64,79666666666667";"63,772222222222226";"42,163333333333334"
"Sudeste";2007;"156,0365056";"65,49777777777778";"67,2988888888889";"40,28333333333333"
"Sudeste";2008;"177,1494784";"68,72";"65,75444444444446";"42,771111111111104"
"Sudeste";2009;"187,5403904";"65,73222222222222";"67,33111111111111";"36,98444444444445"
"Sudeste";2010;"218,0987904";"70,32555555555555";"65,73666666666666";"41,31888888888889"
"Sudeste";2012;"269,3051904";"60,42111111111111";"59,72111111111113";"37,79111111111111"
"Sudeste";2013;"294,874368";"67,18222222222222";"59,45666666666667";"38,82222222222222"
"Sudeste";2014;"317,469056";"66,76888888888888";"68,5188888888889";"39,041111111111114"
"Sudeste";2015;"323,8738176";"58,633333333333326";"56,632222222222225";"33,25"
"Sudeste";2016;"333,3233408";"65,1";"64,58666666666666";"39,24333333333333"
"Sudeste";2017;"348,214272";"63,524";"62,075999999999986";"38,26199999999999"
"Sudeste";2018;"372,1316864";"65,43299999999999";"65,772";"33,073"
"Sudeste";2019;"391,7484288";"71,68299999999999";"68,96099999999998";"35,092"
"Sudeste";2020;"395,2694784";"72,11499999999998";"59,67199999999999";NULL
"Sul";2006;"37,6334368";"66,3884210526316";"65,20157894736842";"42,36105263157895"
"Sul";2007;"43,694672";"71,3978947368421";"71,19368421052631";"45,54210526315791"
"Sul";2008;"49,7390944";"72,24842105263157";"67,49894736842107";"46,874736842105264"
"Sul";2009;"53,0119072";"71,8578947368421";"72,05473684210526";"38,194210526315786"
"Sul";2010;"62,0180416";"73,52526315789473";"69,19000000000001";"46,74105263157895"
"Sul";2012;"76,5001856";"65,40263157894738";"66,46894736842106";"43,432105263157894"
"Sul";2013;"88,0286144";"75,66631578947367";"64,42999999999999";"44,32210526315789"
"Sul";2014;"94,8454016";"74,98421052631578";"75,6157894736842";"41,31052631578948"
"Sul";2015;"100,8035072";"65,01736842105262";"63,11578947368421";"41,576842105263154"
"Sul";2016;"106,7358336";"69,67263157894737";"70,68368421052631";"37,873157894736835"
"Sul";2017;"112,2038144";"72,22842105263159";"72,3357894736842";"40,37684210526315"
"Sul";2018;"119,5550464";"72,827";"71,82500000000002";"36,021"
"Sul";2019;"127,2105088";"78,44333333333334";"75,93476190476191";"38,005714285714284"
"Sul";2020;"130,8147456";"78,67095238095237";"67,66285714285713";NULL
"Centro-Oeste";2006;"20,3404864";"62,00749999999999";"58,197500000000005";"34,655"
"Centro-Oeste";2007;"23,2926912";"63,97749999999999";"63,4175";"37,129999999999995"
"Centro-Oeste";2008;"27,813888";"56,8875";"56,7575";"38,585"
"Centro-Oeste";2009;"30,940064";"65,69";"64,595";"30,325000000000003"
"Centro-Oeste";2010;"35,4815808";"61,792500000000004";"58,647499999999994";"41,3675"
"Centro-Oeste";2012;"44,4538048";"56,625";"59,434999999999995";"41,307500000000005"
"Centro-Oeste";2013;"48,5623008";"63,66750000000001";"59,985";"38,707499999999996"
"Centro-Oeste";2014;"54,2632";"61,12";"65,08500000000001";"33,154999999999994"
