"Grande Região","Ano","Produto Interno Bruto a preços correntes (Mil Reais)","Valor adicionado bruto a preços correntes total (Mil Reais)","Valor adicionado bruto a preços correntes da agropecuária (Mil Reais)","Valor adicionado bruto a preços correntes da indústria (Mil Reais)","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
"Norte","2006","121371647","106286728.596","8911943.948","31021915.470","40745534.690","25607334.485"
"Norte","2007","135631867","118756546.233","9332192.054","32558839.694","48038178.530","28827335.943"
"Norte","2008","156676708","136581913.716","10700488.943","39321049.255","53414702.371","33145673.154"
"Norte","2009","166210201","146237948.494","11914056.860","36784440.031","60030470.822","37508980.771"
"Norte","2010","207093645","182905311.441","15460558.229","58665438.171","66395297.926","42384017.107"
"Norte","2011","241027920","214002679.074","19150662.012","71399347.238","75010636.818","48442033.012"
"Norte","2012","259100991","228669507.589","21383974.192","67445090.055","85858633.253","53981810.107"
"Norte","2013","292442290","259115292.378","27562645.484","74720735.839","95044839.248","61787071.805"
"Norte","2014","308076997","272738852.245","27774230.284","71012138.517","106703291.996","67249191.444"
"Norte","2015","320688313","284652147.799","30194694.415","71082281.446","111253027.845","72122144.086"
"Norte","2016","337302084","300799244.614","33893076.017","71792605.987","116714638.326","78398924.259"
"Norte","2017","367956432","328770475.213","34645486.748","86125097.235","123394263.460","84605627.768"
"Norte","2018","387535316","345176588.097","32553125.449","89718464.961","133394247.965","89510749.711"
"Norte","2019","420424257","373470299.916","32878887.930","103139082.830","141407479.279","96044849.894"
"Norte","2020","478173049","426154208.328","42094036.678","137740478.869","144262069.039","102057623.755"
"Nordeste","2006","317948146","276188310.249","23417704.354","64130143.390","121948290.743","66692171.753"
"Nordeste","2007","354392337","309280251.863","25047031.569","68011558.926","141332683.486","74888977.866"
"Nordeste","2008","406101815","354231946.143","31152164.456","78432710.179","157813113.955","86833957.614"
"Nordeste","2009","451905507","397997519.031","31391250.628","84990233.478","182003995.900","99612039.052"
"Nordeste","2010","522769315","458356690.933","30840700.336","104882101.987","210717250.544","111916638.067"
"Nordeste","2011","583412756","510713504.854","35719903.656","112953587.286","237939370.745","124100643.219"
"Nordeste","2012","653067255","569919237.536","35306738.787","123886251.144","274967169.880","135759077.726"
"Nordeste","2013","724523790","634112495.046","39459977.994","128700321.343","311938348.715","154013846.974"
"Nordeste","2014","805099103","709013551.222","44841064.381","137497308.003","354586125.924","172089052.843"
"Nordeste","2015","848579383","748112200.050","48359196.440","149173302.161","365459203.865","185120497.523"
"Nordeste","2016","898361847","792530138.611","48875456.129","154569208.330","391149062.027","197936412.159"
"Nordeste","2017","953428747","839598911.885","55427281.209","158358360.320","413890511.671","211922758.623"
"Nordeste","2018","1004827440","881794528.028","59504662.766","166330027.064","433449662.991","222510175.198"
"Nordeste","2019","1047765997","917019608.774","59882893.561","169408691.498","450661680.688","237066343.071"
"Nordeste","2020","1079331031","948482932.244","84488770.565","181171037.134","436102799.891","246720324.658"
"Sudeste","2006","1390390898","1167218598.438","34442940.457","350002748.332","636982642.617","145790267.022"
"Sudeste","2007","1560365099","1310938845.713","36556709.313","387368097.094","720218863.857","166795175.421"
"Sudeste","2008","1771494746","1470202622.510","35809929.508","442762148.275","799751683.735","191878860.969"
"Sudeste","2009","1875403889","1578726889.619","41751006.654","432606734.262","890785750.414","213583398.274"
"Sudeste","2010","2180987792","1826244306.326","43495123.104","531515950.676","1022379863.767","228853368.784"
"Sudeste","2011","2455541523","2056871427.457","52287083.895","594014472.458","1157389876.248","253179994.817"
"Sudeste","2012","2693051827","2259374552.585","54909816.066","626781743.192","1301390510.090","276292483.213"
"Sudeste","2013","2948743736","2480879063.132","56145235.684","656519150.618","1450976734.547","317237942.296"
"Sudeste","2014","3174690665","2696169325.721","59487999.663","687033303.382","1608514675.587","341133347.111"
"Sudeste","2015","3238738052","2740336131.027","57556226.210","638441531.119","1674996321.893","369342051.792"
"Sudeste","2016","3333233480","2838141048.921","76389203.451","609297472.958","1766726328.324","385728044.202"
"Sudeste","2017","3482142785","2950815537.196","72639540.600","633462882.749","1842999590.494","401713523.355"
"Sudeste","2018","3721316871","3138275993.548","67015776.165","721765720.981","1933221862.566","416272633.843"
"Sudeste","2019","3917484197","3322642524.768","66660298.205","751969007.908","2068258024.398","435755194.248"
"Sudeste","2020","3952694729","3384923645.706","93293348.643","771869937.793","2067750904.771","452009454.487"
"Sul","2006","376334359","322862386.970","26374327.526","93835095.366","160579222.425","42073741.660"
"Sul","2007","436946735","376954475.186","32398119.220","108444914.981","188529367.407","47582073.601"
"Sul","2008","497390939","424599600.636","40678348.794","119717540.169","210242143.333","53961568.363"
